company,contact_name,role,signal,signal_url,contact_channel,payment_link,message_sent_date,response,payment_status,notes
Foyer,,Founder or CTO,Public reporting says the team actively manages heavy Claude Code and Codex usage costs,https://www.businessinsider.com/claude-code-codex-token-bill-save-money-openai-anthropic-foyer-2026-6,website or founder public social,,,,,High fit because AI spend savings are already public pain
Sazabi,,Founder or Head of Engineering,AI observability startup for teams using Cursor and Claude Code,https://www.businessinsider.com/pitch-deck-sazabi-ai-observability-8-million-y-combinator-2026-6,website or founder public social,,,,,Potential partner or buyer for monthly spend review
Scaled Cognition,,Founder or Product Lead,Enterprise AI reliability startup focused on customer experience agents,https://www.scaledcognition.com,website contact,,,,,Likely high AI evaluation and agent usage
Decagon,,Engineering Lead,AI agents for customer experience and support automation,https://decagon.ai,website contact,,,,,Likely substantial model usage from customer support agents
Sierra,,Engineering Lead,Enterprise AI agents for customer service,https://sierra.ai,website contact,,,,,Large account but strong fit for usage-cost governance angle
Implement AI,,Founder or Ops Lead,AI automation and digital workers for business workflows,https://implementai.io,website contact,,,,,Services team may value repeatable audit offer
Gumloop,,Founder or CTO,No-code AI automation workflows that likely execute many model calls,https://www.gumloop.com,website contact,,,,,Workflow automation companies can have hidden retry and routing waste
Lindy,,Founder or Engineering Lead,AI assistant platform for business automation,https://www.lindy.ai,website contact,,,,,Agent usage makes budget guards and routing relevant
Dust,,Engineering Lead,Company AI assistants and agents for work,https://dust.tt,website contact,,,,,Likely usage across many internal assistant workflows
Relevance AI,,Founder or Engineering Lead,AI workforce and agent platform,https://relevanceai.com,website contact,,,,,Agent runtime can create recurring token spend
Stack AI,,Founder or Engineering Lead,Enterprise AI workflow platform,https://www.stack-ai.com,website contact,,,,,Likely multi-model workflow spend
VectorShift,,Founder or Engineering Lead,AI automation and search workflows,https://vectorshift.ai,website contact,,,,,RAG and workflow products create model and embedding spend
Cassidy,,Founder or Engineering Lead,AI automation platform for business teams,https://www.cassidyai.com,website contact,,,,,Potential customer for monthly cost review
Vellum,,Founder or Engineering Lead,LLM application development and evaluation platform,https://www.vellum.ai,website contact,,,,,Evaluation workloads can run up repeatable LLM spend
Humanloop,,Founder or Engineering Lead,LLM evaluation and product development platform,https://humanloop.com,website contact,,,,,Strong fit for spend governance and evaluation cost analysis
Langfuse,,Founder or Engineering Lead,Open-source LLM engineering and observability platform,https://langfuse.com,website contact,,,,,Potential partner or buyer for audit workflow
Portkey,,Founder or Engineering Lead,AI gateway and observability platform,https://portkey.ai,website contact,,,,,Gateway users likely care about model routing spend
Helicone,,Founder or Engineering Lead,Open-source observability for LLM applications,https://www.helicone.ai,website contact,,,,,Potential partner or buyer for usage audit templates
Braintrust,,Founder or Engineering Lead,AI evaluation and observability platform,https://www.braintrust.dev,website contact,,,,,Evaluation costs and model routing are core concerns
PromptLayer,,Founder or Engineering Lead,Prompt management and LLM observability platform,https://promptlayer.com,website contact,,,,,Likely buyer or channel partner for spend audits
Parea AI,,Founder or Engineering Lead,LLM evaluation and observability platform,https://www.parea.ai,website contact,,,,,Evaluation workloads imply recurring AI usage
Athina AI,,Founder or Engineering Lead,AI evaluation and monitoring platform,https://www.athina.ai,website contact,,,,,Potential partner or buyer for optimization report workflow
Retell AI,,Founder or Engineering Lead,Voice AI agent platform,https://www.retellai.com,website contact,,,,,Voice agents combine LLM and speech costs
Vapi,,Founder or Engineering Lead,Voice AI platform for developers,https://vapi.ai,website contact,,,,,High-volume voice agent workloads likely have cost pressure
Bland AI,,Founder or Engineering Lead,AI phone calling platform,https://www.bland.ai,website contact,,,,,Phone agents likely generate recurring model and voice spend
Tavus,,Founder or Engineering Lead,AI video and conversational replica platform,https://www.tavus.io,website contact,,,,,Multimodal AI workloads have high cost-control need
HappyRobot,,Founder or Engineering Lead,AI workers for logistics and operations,https://www.happyrobot.ai,website contact,,,,,Operational AI agents likely need spend controls
Maven AGI,,Founder or Engineering Lead,AI customer support agents,https://www.mavenagi.com,website contact,,,,,Support automation usage maps directly to token spend
Ada,,Engineering Lead,AI customer service automation,https://www.ada.cx,website contact,,,,,Support automation company with strong spend-governance fit
Intercom Fin,,Engineering Lead,AI customer service agent product,https://www.intercom.com/fin,website contact,,,,,Large account but clear AI support usage signal
